humidity,pm25
16.3,8.5
14.9,10.1
14.6,9.9
13.6,13.4
12,12.8
8.7,7.8
15.6,10
40.7,12
38.5,8.5
29.2,8.5
26.4,11.2
17.6,13.4
18.7,7.9
16.3,9.3
18.1,10.7
13.8,10.6
12.7,8.8
12.9,8.8
37.6,9.8
32.3,7
22.8,9.3
10.8,18.1
12.2,14.5
11.4,8.8
10.8,7.8
10.1,9.1
19,9.9
17.3,11.4
16.6,22.5
27.9,10.3
25.3,8.5
40.1,6.5
33.9,6
18.9,8.4
12.8,12
10.3,10.7
7.3,11.5
12.2,12
35.4,7.5
36.9,7.1
21.9,10.1
32.4,3.5
46,6
38.1,5.4
20.3,8.1
14.4,14.5
16.8,7
21.9,5.6
30.5,7.3
27.5,6.7
12.5,6.9
13.6,7.6
35.4,9.5
33.4,6.8
16.5,8.6
16.2,18.8
16.5,10.3
14.8,8.6
12.5,10.9
19.6,7.7
19,6.4
34.4,9.2
36.9,6.4
22.5,7.6
12.1,6.3
10,16.3
11.1,9.3
11.7,8
19.5,7.7
14.8,7
11.4,7.6
23.3,11.1
35.6,11.7
39.9,8.7
28.9,7.9
17.2,15.1
29.2,7.4
50.5,5
42.6,6.8
20.4,8
9.6,6.6
9.9,8.9
9.5,9.6
9,11.6
10.1,11.5
12,10.6
12.5,10.5
9,12.1
9.2,10.4
27.4,9.3
41.7,6.6
30.1,5.8
20,3.9
20.8,4.7
22.1,9.4
27.9,9.2
27,7
17.6,7.4
15.3,15.8
16.8,12.8
16,10.2
25.7,10.5
39.5,7.6
21.9,7.8
22.2,7.1
13.8,7.4
12,6.7
14.8,7.3
13.8,12.3
17.6,8.8
16.2,9.2
16,8.4
11.4,8.4
15.8,32.7
24.1,6.8
15.8,7.2
18.5,7
15.9,6
32.3,8.6
37.7,4.2
23.8,4.6
11.7,43.2
23.8,15.2
28.2,7.2
20.6,8.5
16.1,19.2
16.4,13.4
14.9,17.6
14.4,17.1
10.9,10.2
11.5,14.2
10.8,14.1
29.6,11.1
41.3,9.5
42.3,6.2
23.2,6.3
9.9,5.7
10.4,6.3
8.9,6.5
9.2,7.2
12.3,6.8
12.1,6.3
7.9,5.1
31.1,5.9
26.3,4.3
12.2,9
15.6,21.3
18.7,4.5
15.1,9.4
23.8,10.1
51.4,4.6
27.7,3.3
10.4,4.8
14,5
23.1,4.1
14.8,5.2
12.7,7.2
12.1,4.6
20.5,6.2
25.9,5.8
30,4.8
24.2,5.8
23.1,4
16.9,6
10.4,5.1
12.1,5.3
20.4,18.4
18.2,5.1
13.4,5.9
11.9,4.2
12.7,4.6
28.8,9
27.2,7
20.8,7.4
20.7,6
9.2,8.5
13,9
13.2,7.4
17.7,5.8
30.2,8.2
36.7,13.4
38.4,13.3
34.3,5.7
22.2,10.5
17.8,11.1
8.6,6.1
16,8.2
10.3,4.6
9.4,7.7
12.1,9.5
11.5,6.4
16.4,5.7
45.2,6.3
30.8,5.9
24.8,7.2
24.6,9.4
22.2,13.7
20.9,6.9
20,6.1
25.4,8.7
16.3,4.7
12,6.4
14.8,10.5
16.7,7.6
15.6,7.9
27.3,9.5
27.5,8.9
30.6,6.9
27.5,5.8
26.4,5.7
12.6,7.3
13.1,8.1
11.1,6.4
9.5,6.2
9,6.7
12.3,9.6
16.1,12
14,8.1
12.7,7.1
17.7,8.1
18.3,10.1
13.9,8.9
27.1,13.5
15.1,9.4
11.5,17.5
10,19.2
10.8,5.4
8.2,8.3
6.9,9.9
6.8,14.3
10,11.1
16.9,13.9
22.3,21.6
21.3,6.5
24.5,9
18.6,9.3
12.5,11
33.7,10
26,8.9
20.7,9.7
17.2,11.4
14.8,7.1
14,7.7
12.5,20.6
14.8,7
12.9,6.5
14.4,6.2
12.4,6.1
10.8,9.5
9.4,7.1
7.2,7.1
7.9,7.7
9.2,7.7
12.5,7.9
15.5,6.6
14.5,7.5
9.6,6.6
9.6,6.8
7,9.7
6,16.6
6.7,7.6
22.2,12.7
39.5,8.2
26,7.6
12.7,8
19.9,6.8
8.6,7.3
7.8,8.9
8.3,5.8
7.7,6.7
7.9,6.7
7.8,8.2
7.3,8.1
18.1,6.2
18.4,7.8
27.6,6.6
42.2,7
31.3,5.6
22,6.3
16.8,8.3
27.6,25.2
27.4,6.5
37.6,8.1
44.2,6.7
57.2,11.4
46.2,11.7
21.6,6.2
29.2,7.7
49.1,5.6
32.8,5.3
29.5,5.3
31.8,8.8
35.4,11
48.1,11.7
31.8,7.5
19.6,6.2
15.2,7
14.6,10.6
32,13.1
35.2,13.4
12.5,11.1
11.3,12.4
20,11
29.4,9.9
29.7,9.8
15.7,10.7
16.2,7.2
17,9.5
21.1,5.3
22.7,5.4
14.1,5.4
9.5,6.3
8.2,34.6
13.2,6.4
21.4,8.1
37.8,6.6
28.3,5.7
12.2,10.6
13.7,6.1
39.6,10.8
32.6,7.8
16.3,5.8
11.1,9.6
15,7.1
30,8
43,4.7
37.8,4.4
20.9,6.1
18.5,7.6
12.8,7.8
10.1,6.5
9.4,6
16.4,7.7
9.8,4.7
9.4,5.8
9.4,6.5
9,6.1
10.5,5.9
16.1,7.6
25.3,5.3
29.1,6.6
54.9,6.7
46.7,6.5
49.9,5.3
43.4,6
27.4,8.7
17.8,7.4
17.1,7.8
13.1,11.4
14,6.4
10.3,6.6
18.1,22.2
17.7,10.1
9.4,17.5
13.9,11
13.9,7.9
11.5,5.8
10.9,22.6
14.1,11.8
15.8,8.8
10,5.7
27.1,15.1
42.7,11.7
25.5,3.6
28.5,4.9
68.1,3.5
54.4,9.8
36.3,3.2
32.4,4.9
70.7,2.3
55.9,5
48.9,5.4
47,4.5
61.8,2.5
61.7,3.7
39,6.6
47.6,8
35.2,5.9
42.1,5.3
69.6,5.5
39.6,4.3
40.1,5.1
36.3,4.3
22.8,5.7
20.9,5.5
22.9,3.6
20.9,3.6
19.1,5.4
28.1,13.9
25,5.5
17.2,7
17.1,5.2
18.6,7.3
14.2,5.7
17.1,3.4
19.9,4.4
23.6,4.8
19.2,4.8
21.2,4
24.6,3.6
25.2,4.1
21.6,3.3
16.8,4.3
17.2,3.5
36.7,6
25.6,5.1
26.5,3.6
22.4,5.4
13.9,4.6
15.6,5.4
15.5,5.4
17.1,4.2
14.7,5.1
13.7,5.4
18.2,4.8
18.3,4.8
15.1,5.1
17.8,7.1
16.1,5.7
12.3,5.8
11.7,5
17.8,8.1
16.3,8.1
12.3,7.3
14.9,7.1
12.5,7.3
11,5.4
20.4,8.9
11.2,4.8
12.1,8.6
14.7,8.2
25.9,7.6
31.1,5.9
15.3,4.8
13.7,4.8
13.4,4.6
11.6,4.5
11.9,4.9
10.8,5.5
10.6,8.2
10.6,5.8
10.8,4.6
8.7,4.3
7.5,5.3
9.3,4.4
12.2,4.9
17.4,5.8
28,6.4
11.3,8.1
13.9,7.7
19.4,4.6
19.2,3.9
16.7,4.6
25,8.6
29.6,9.4
35.4,7
26.4,10.5
20.1,11.1
16.2,12.3
17.1,8.8
9.4,7.4
8.6,7.3
21.5,12.6
31,9.8
20.3,6.6
15.7,54.8
24.4,6.2
20.9,9.1
16.7,7.1
14.9,9
14.5,8.6
13.4,9.2
11.7,10.8
50.6,8
40.6,5.5
18.6,6.1
26.5,8
25.8,8.5
15.9,8.2
8.5,12.2
13.7,15.1
18.4,10.3
19,10.6
23.8,11.2
28.3,9.9
21.8,6.9
7.9,6.6
7.7,4.5
7,4.6
10.4,7.1
10.5,10
8,6.1
11.6,6.3
22.8,10.7
24.5,9.6
13,9.4
11.9,5.9
36,9.3
40.4,4.1
32.3,4.3
21.9,7
26.3,5.6
19,10.1
14.2,6.8
13.5,7.3
7.4,5.2
6.9,13.1
16.8,12.9
32.4,3.3
60.1,3.6
44.8,3.6
34.5,5.4
10.3,14.9
11.8,8.2
28.8,6.8
16.9,16.1
26.3,11
14.3,12.9
7.5,8.1
10.5,7.4
11.9,7.5
41.1,7.2
38.7,9.8
28.8,8.5
24.4,8.3
9.9,6.4
9.8,8.8
14.4,7.4
17.5,9.7
12.3,8.2
12.5,7.7
13.2,14.1
12.8,6.5
8.9,6.6
6.2,8.8
7.3,10.5
7.9,9
6.6,7.1
26.2,11.3
31.6,10.1
31.1,9.2
