nitrogen,ozone
15.9,22
15.8,26
18.9,29
31.8,17
26.1,19
7.4,30
7.4,37
11.3,26
18.1,22
22.8,28
8,37
6.9,32
9.2,33
18.4,22
13,27
8.7,33
1.7,35
17.5,27
6.4,40
5.1,43
20.8,21
10.4,35
5.1,43
12.1,31
5.5,39
4.6,39
8.8,36
6.2,38
9,33
24.9,21
16.6,33
17,36
28.8,19
6.4,38
12.4,35
6.2,30
13.4,28
22.6,24
4.3,41
2.1,46
7.2,39
14.6,31
17.1,34
13.7,42
6.1,47
6.5,39
4.3,41
5.6,46
12.4,37
6.7,40
5.9,46
8.2,43
6,35
7,44
8.3,49
8.4,48
9.1,44
8.5,49
6.3,41
9.8,39
14.3,37
11.4,37
6.2,48
4.6,45
1.5,31
3.3,33
1,28
10.2,32
14.7,33
5,42
7.2,39
8.5,43
4.5,33
14.3,30
11.1,31
6.6,41
16.8,30
4.1,30
26,26
28.6,17
24.3,21
15.1,28
12.7,28
16.4,25
11.9,30
14.2,28
23.4,27
12.4,30
16.1,27
16,27
6.4,36
2.2,44
8.2,36
9.1,43
7.9,43
5.2,37
11.7,32
3.9,50
6.9,45
5,44
4.9,51
15.2,42
26.7,25
21.4,23
6.9,33
12.2,38
4.3,38
11,39
10.2,36
12,37
11.7,42
15,33
10,32
12.7,35
11.8,45
3.5,41
2.9,46
1.8,47
5.7,49
4.3,42
2,34
3.6,45
11.9,36
15.4,34
10.4,39
4.5,44
12.1,40
6.3,36
5.1,47
9.8,43
7.5,48
9.1,49
6,39
5.4,44
5.1,45
8.4,41
3.1,56
8.5,44
9.8,41
8.6,43
4.6,36
17.2,32
26.9,25
23.7,22
15,31
10.1,32
13.9,38
23.8,25
11.2,32
4.4,39
13.1,36
4.4,35
11.8,33
7.2,32
9.4,38
16.6,33
23.8,21
16.2,19
8.6,23
7.6,23
7.6,33
7.5,40
6.2,39
11.9,33
17,24
12.4,34
6.4,41
10.6,36
14.8,34
20.5,27
9.3,41
6.8,33
13.8,45
14.6,36
4.8,41
3.9,53
9.5,39
14.1,39
6.9,47
8.2,49
4.4,50
6.6,48
5.4,51
19.8,33
24,26
4.6,39
9.2,46
7.2,46
9.1,45
3.8,43
4.8,45
3.7,47
9.4,45
11.1,41
9,51
10.9,35
11.4,37
12.3,32
3.5,36
3.1,31
9.9,21
11,26
11.4,29
10.8,36
9.9,47
12,46
5.6,47
8.4,50
6.1,49
9.8,43
14.7,34
15.2,32
7.6,43
9.9,39
7.7,38
11.5,33
11.4,31
8.2,35
7.4,30
9.9,32
12,32
8.2,30
6.4,35
7.9,40
11.6,21
2.4,34
1.2,48
2.5,50
2.3,40
5.4,40
17.6,32
10.8,35
6.6,40
7,35
11.4,33
13.6,38
4.5,41
11.7,31
10.6,37
5.5,39
3.4,37
14.2,41
19.9,28
4.1,43
16,30
17.9,25
7.8,35
10.3,33
2.3,50
5,41
14.6,33
7.9,38
18.8,33
4.6,43
2.5,43
7.8,36
12.6,42
6.6,37
6.5,38
4.3,41
6.6,44
11.2,38
6.1,45
10.3,38
7.5,38
5.5,35
8.2,35
12.9,34
10.4,37
14.6,35
8,40
5,41
6.3,46
3.9,31
5.5,34
6.9,39
14.8,34
10.2,43
4.4,43
3.5,43
5.9,48
3.8,50
19.2,32
13.6,26
3.4,40
12.9,21
7.1,29
8.4,35
16.4,23
4.9,36
11.3,31
14.1,21
17.7,13
7.9,23
10.3,24
13.8,31
18,21
16,21
16.9,18
9.5,37
15.2,26
8.8,35
15.2,33
13.1,34
14.7,30
11.5,27
5.1,39
10.7,39
10.3,40
20,30
10.4,38
6.4,42
12.4,32
8.7,37
8.5,37
9.2,32
9.2,33
8.5,35
13,33
8.5,41
6,41
8.4,39
9.3,42
8,44
12.5,37
6.9,40
8.9,41
8.6,42
8.6,45
9.3,41
10,42
7.8,44
10.6,39
9.1,41
4.8,47
13.4,45
11.8,38
8.9,38
8,43
5,47
12,50
7.8,51
3.8,51
8.5,55
7.9,50
7.2,44
5.8,42
7.5,40
9.9,42
6.7,44
15.7,36
5.9,43
7.9,42
8.7,45
11.3,43
6.8,44
5.6,46
9.7,45
14,38
8.7,50
4.5,49
3.8,47
5.4,37
17,29
30.6,18
4.4,34
9.5,34
7.2,42
25.9,20
7.3,32
5.2,34
6.3,41
8,45
6.8,37
5.5,42
6.3,46
13.3,38
10.9,39
7.2,35
12,33
10.9,33
14.1,35
17.9,30
15.1,30
11.5,37
7.3,41
3.8,43
