radiation,nitrogen
0.362,15.9
0.362,15.8
0.336,18.9
0.342,31.8
0.268,26.1
0.316,7.4
0.234,7.4
0.357,11.3
0.387,18.1
0.377,22.8
0.374,8
0.377,6.9
0.398,9.2
0.398,18.4
0.403,13
0.41,8.7
0.4,1.7
0.41,17.5
0.389,6.4
0.397,5.1
0.422,20.8
0.425,10.4
0.426,5.1
0.396,12.1
0.374,5.5
0.342,4.6
0.375,8.8
0.305,6.2
0.443,9
0.449,24.9
0.434,16.6
0.361,17
0.173,28.8
0.359,6.4
0.458,12.4
0.306,6.2
0.466,13.4
0.468,22.6
0.435,4.3
0.459,2.1
0.412,7.2
0.477,14.6
0.485,17.1
0.478,13.7
0.386,6.1
0.459,6.5
0.472,4.3
0.482,5.6
0.49,12.4
0.491,6.7
0.492,5.9
0.493,8.2
0.493,6
0.494,7
0.501,8.3
0.468,8.4
0.492,9.1
0.506,8.5
0.511,6.3
0.517,9.8
0.519,14.3
0.463,11.4
0.491,6.2
0.35,4.6
0.445,1.5
0.422,3.3
0.338,1
0.463,10.2
0.51,14.7
0.514,5
0.506,7.2
0.474,8.5
0.36,4.5
0.327,14.3
0.326,11.1
0.217,6.6
0.328,16.8
0.341,4.1
0.335,26
0.311,28.6
0.349,24.3
0.335,15.1
0.362,12.7
0.356,16.4
0.344,11.9
0.369,14.2
0.363,23.4
0.359,12.4
0.37,16.1
0.38,16
0.327,6.4
0.385,2.2
0.371,8.2
0.389,9.1
0.332,7.9
0.273,5.2
0.402,11.7
0.317,3.9
0.279,6.9
0.412,5
0.415,4.9
0.418,15.2
0.335,26.7
0.432,21.4
0.437,6.9
0.427,12.2
0.423,4.3
0.416,11
0.406,10.2
0.448,12
0.45,11.7
0.429,15
0.454,10
0.493,12.7
0.465,11.8
0.449,3.5
0.457,2.9
0.421,1.8
0.455,5.7
0.441,4.3
0.382,2
0.312,3.6
0.495,11.9
0.488,15.4
0.478,10.4
0.48,4.5
0.48,12.1
0.408,6.3
0.437,5.1
0.479,9.8
0.477,7.5
0.479,9.1
0.469,6
0.487,5.4
0.466,5.1
0.505,8.4
0.502,3.1
0.469,8.5
0.492,9.8
0.424,8.6
0.453,4.6
0.352,17.2
0.356,26.9
0.361,23.7
0.315,15
0.299,10.1
0.333,13.9
0.278,23.8
0.37,11.2
0.302,4.4
0.371,13.1
0.351,4.4
0.323,11.8
0.325,7.2
0.377,9.4
0.411,16.6
0.396,23.8
0.381,16.2
0.359,8.6
0.305,7.6
0.092,7.6
0.386,7.5
0.422,6.2
0.429,11.9
0.433,17
0.405,12.4
0.443,6.4
0.45,10.6
0.441,14.8
0.419,20.5
0.362,9.3
0.373,6.8
0.454,13.8
0.454,14.6
0.437,4.8
0.441,3.9
0.477,9.5
0.424,14.1
0.447,6.9
0.47,8.2
0.423,4.4
0.476,6.6
0.475,5.4
0.479,19.8
0.477,24
0.419,4.6
0.446,9.2
0.242,7.2
0.453,9.1
0.455,3.8
0.306,4.8
0.434,3.7
0.51,9.4
0.509,11.1
0.508,9
0.502,10.9
0.507,11.4
0.514,12.3
0.512,3.5
0.463,3.1
0.516,9.9
0.522,11
0.52,11.4
0.523,10.8
0.523,9.9
0.532,12
0.438,5.6
0.502,8.4
0.52,6.1
0.523,9.8
0.535,14.7
0.423,15.2
0.538,7.6
0.533,9.9
0.53,7.7
0.535,11.5
0.347,11.4
0.287,8.2
0.34,7.4
0.355,9.9
0.361,12
0.24,8.2
0.108,6.4
0.304,7.9
0.126,11.6
0.225,2.4
0.351,1.2
0.394,2.5
0.161,2.3
0.294,5.4
0.398,17.6
0.385,10.8
0.36,6.6
0.375,7
0.393,11.4
0.408,13.6
0.363,4.5
0.325,11.7
0.417,10.6
0.436,5.5
0.353,3.4
0.402,14.2
0.432,19.9
0.434,4.1
0.378,16
0.356,17.9
0.427,7.8
0.458,10.3
0.36,2.3
0.459,5
0.21,14.6
0.419,7.9
0.466,18.8
0.449,4.6
0.372,2.5
0.477,7.8
0.484,12.6
0.461,6.6
0.316,6.5
0.416,4.3
0.48,6.6
0.489,11.2
0.44,6.1
0.489,10.3
0.448,7.5
0.497,5.5
0.508,8.2
0.457,12.9
0.507,10.4
0.507,14.6
0.495,8
0.459,5
0.462,6.3
0.346,3.9
0.442,5.5
0.417,6.9
0.513,14.8
0.506,10.2
0.484,4.4
0.524,3.5
0.523,5.9
0.299,3.8
0.527,19.2
0.507,13.6
0.52,3.4
0.202,12.9
0.099,7.1
0.295,8.4
0.369,16.4
0.366,4.9
0.356,11.3
0.366,14.1
0.263,17.7
0.151,7.9
0.29,10.3
0.395,13.8
0.403,18
0.129,16
0.119,16.9
0.382,9.5
0.4,15.2
0.365,8.8
0.42,15.2
0.431,13.1
0.422,14.7
0.276,11.5
0.283,5.1
0.44,10.7
0.44,10.3
0.403,20
0.369,10.4
0.453,6.4
0.309,12.4
0.435,8.7
0.294,8.5
0.459,9.2
0.442,9.2
0.422,8.5
0.471,13
0.461,8.5
0.472,6
0.476,8.4
0.48,9.3
0.475,8
0.384,12.5
0.485,6.9
0.483,8.9
0.498,8.6
0.491,8.6
0.496,9.3
0.499,10
0.497,7.8
0.457,10.6
0.505,9.1
0.497,4.8
0.466,13.4
0.446,11.8
0.504,8.9
0.523,8
0.51,5
0.511,12
0.523,7.8
0.481,3.8
0.495,8.5
0.421,7.9
0.525,7.2
0.524,5.8
0.45,7.5
0.526,9.9
0.531,6.7
0.529,15.7
0.516,5.9
0.534,7.9
0.543,8.7
0.544,11.3
0.541,6.8
0.533,5.6
0.529,9.7
0.538,14
0.515,8.7
0.525,4.5
0.527,3.8
0.354,5.4
0.366,17
0.35,30.6
0.358,4.4
0.374,9.5
0.368,7.2
0.318,25.9
0.53,7.3
0.489,5.2
0.501,6.3
0.463,8
0.44,6.8
0.524,5.5
0.491,6.3
0.456,13.3
0.533,10.9
0.376,7.2
0.526,12
0.514,10.9
0.542,14.1
0.448,17.9
0.372,15.1
0.549,11.5
0.54,7.3
0.536,3.8
