radiation,temp
0.362,65.2
0.362,68.4
0.336,67
0.342,66.9
0.268,65.9
0.243,69
0.316,60.6
0.234,52.2
0.357,55.2
0.387,59.9
0.377,61.9
0.374,63.4
0.395,61
0.377,65.3
0.398,65.1
0.398,65.4
0.403,65.7
0.41,66.9
0.4,53.3
0.397,54.6
0.41,64.5
0.389,70.8
0.397,61.1
0.422,56.5
0.425,62.4
0.426,66.2
0.427,61.7
0.396,66.5
0.374,68.4
0.342,59.9
0.375,55
0.305,50.6
0.443,52.5
0.449,60.3
0.449,67
0.434,73
0.361,69
0.173,68.4
0.359,67.8
0.458,67.8
0.446,66.9
0.465,62.4
0.306,59
0.466,63.8
0.468,71.4
0.435,73.4
0.459,60.9
0.475,60.6
0.412,65.1
0.477,65.7
0.485,71.8
0.478,75.1
0.386,72.7
0.459,72.7
0.487,73.1
0.472,73.4
0.482,66.5
0.49,65.7
0.491,71.7
0.492,63.8
0.493,66.2
0.484,59.5
0.493,58.6
0.494,69.3
0.501,73.8
0.468,78.5
0.492,80.2
0.506,71.9
0.508,68.7
0.511,68.5
0.517,72.9
0.519,76.5
0.463,75.3
0.491,78.7
0.35,73.6
0.436,77.2
0.445,78.8
0.422,70.9
0.338,62.4
0.463,66.3
0.51,77.2
0.514,79.1
0.486,78.7
0.506,79.3
0.474,78.1
0.51,78.6
0.5,74.6
0.515,70.8
0.523,77
0.481,81.8
0.36,78.7
0.404,73.5
0.327,54
0.326,54.5
0.217,57.3
0.328,62.6
0.304,65.9
0.341,64.7
0.35,59.2
0.335,63.2
0.311,65.9
0.349,67.9
0.335,68.6
0.344,62.8
0.356,64.1
0.362,68
0.356,70.8
0.344,71.3
0.369,71
0.363,73.2
0.366,76.3
0.359,75.5
0.37,76.2
0.38,76.4
0.327,66.8
0.385,59.7
0.371,65.8
0.386,64.7
0.389,67.8
0.332,58.8
0.273,57.4
0.402,65.6
0.317,68.6
0.279,56.5
0.408,58.8
0.412,65.4
0.415,64.1
0.418,58.8
0.335,65.2
0.432,71.2
0.437,74.1
0.393,70.5
0.427,68.7
0.409,72.5
0.423,73.4
0.416,71.2
0.406,75.7
0.448,74.1
0.443,73.6
0.45,74.5
0.429,75.8
0.454,76.6
0.493,77.1
0.465,74.8
0.449,65.7
0.451,67.7
0.457,78.1
0.421,74.8
0.455,67.8
0.441,75.4
0.382,74.5
0.312,52.1
0.475,60.1
0.495,70.7
0.488,75.3
0.478,75.6
0.48,68.9
0.48,76.6
0.408,80.5
0.479,78.4
0.458,74.8
0.465,67.1
0.437,61.3
0.479,68.2
0.477,74.5
0.479,79.7
0.445,80.4
0.469,77.7
0.357,69.7
0.487,68.6
0.466,73
0.505,70.7
0.502,72.3
0.49,76.7
0.469,78.7
0.492,74.7
0.424,77.4
0.453,83.5
0.495,82
0.502,81.1
0.502,76.8
0.486,76.9
0.425,74.6
0.393,74.4
0.352,48.6
0.356,57.1
0.361,61.8
0.369,62.7
0.315,53.8
0.299,53.5
0.333,58
0.278,62.9
0.37,66.1
0.302,65.3
0.196,54.2
0.338,53.8
0.371,59
0.353,63.2
0.351,66.9
0.323,60.5
0.325,64.6
0.395,59.6
0.377,53.7
0.411,58.4
0.396,66.3
0.381,72.5
0.359,73.5
0.305,67.9
0.351,69.6
0.092,63.5
0.386,59.1
0.422,55.7
0.429,63.2
0.433,66.7
0.405,70.3
0.381,73
0.443,71.3
0.45,69.2
0.441,64.1
0.419,71.1
0.362,72.9
0.373,73.5
0.448,76.9
0.376,73.3
0.454,68.1
0.454,77.8
0.437,77
0.441,60.3
0.477,56.7
0.478,64.9
0.424,72.6
0.447,73.4
0.47,68.1
0.423,70.6
0.476,67.1
0.475,63.3
0.301,66.5
0.479,73.7
0.477,77.6
0.419,65
0.446,69.8
0.242,66.4
0.453,73.6
0.488,78
0.455,75.2
0.306,73.1
0.434,71.7
0.51,65.7
0.509,69.6
0.508,74.1
0.509,78.4
0.465,82.4
0.502,85.7
0.507,85
0.514,86.1
0.512,84.2
0.463,81
0.458,79.4
0.516,79.7
0.522,82.1
0.52,82.7
0.523,84.6
0.523,78.6
0.532,76.6
0.502,77.8
0.438,77.1
0.502,79.5
0.52,80.7
0.523,82
0.535,84.2
0.423,86.4
0.526,84.5
0.538,81.6
0.533,83.4
0.53,85.8
0.535,87.4
0.347,63.4
0.287,65.3
0.355,64.1
0.34,45.9
0.355,48.8
0.361,58.9
0.24,68.6
0.108,63.2
0.304,53.7
0.145,58.6
0.126,62.4
0.225,58.3
0.351,49.9
0.394,50.7
0.313,47.8
0.161,44.6
0.393,53.4
0.294,55
0.398,56.9
0.385,58.3
0.36,60.7
0.375,61.9
0.393,59.8
0.422,64.4
0.408,65.9
0.363,70.8
0.325,72
0.417,72.3
0.436,69.4
0.353,58.9
0.425,50.9
0.402,55.3
0.432,65.1
0.434,67.6
0.378,65.5
0.356,65.6
0.427,64.4
0.455,68.2
0.458,73.4
0.456,77.8
0.36,70.5
0.459,57.6
0.21,55.2
0.419,54
0.47,62.2
0.466,72.3
0.449,72.2
0.372,60.2
0.477,65.6
0.484,71
0.461,76.4
0.486,74.9
0.316,68.6
0.416,64.6
0.48,65.6
0.489,74.4
0.44,79.4
0.489,79.3
0.497,78
0.448,76.6
0.497,72.3
0.508,72.2
0.457,73.8
0.507,75.5
0.507,75.6
0.51,78.5
0.495,77.3
0.385,71.5
0.459,66.9
0.462,67
0.346,58.3
0.442,62.9
0.247,63.3
0.417,65.3
0.513,74
0.506,79.1
0.484,81.6
0.524,75.1
0.523,69.9
0.455,74.6
0.299,68.2
0.521,64.9
0.514,76.1
0.516,74.3
0.527,74.4
0.507,80.7
0.4,80.2
0.52,77.3
0.529,72.4
0.533,73.7
0.501,75.1
0.48,77.5
0.184,59.4
0.202,59.1
0.099,50
0.295,48.8
0.369,53
0.366,57.9
0.356,63.4
0.141,57.7
0.366,58.4
0.263,62.2
0.299,65.3
0.151,62.7
0.29,61.6
0.395,60.4
0.255,63.3
0.403,64.6
0.129,63.1
0.119,54.2
0.382,54.4
0.4,56.2
0.365,60
0.404,62.5
0.42,66.3
0.431,63.1
0.422,68.8
0.276,71.6
0.283,61.4
0.44,51
0.321,59.1
0.44,62.2
0.403,63.6
0.369,71.8
0.453,69
0.309,66.3
0.435,65.1
0.454,66.9
0.294,68.7
0.459,67.3
0.442,69.5
0.422,70.2
0.471,66.5
0.461,62.7
0.467,59.2
0.472,64.4
0.476,61.1
0.48,61.2
0.475,68.5
0.384,69
0.485,69.4
0.489,66.2
0.483,69.5
0.498,72.5
0.491,68.2
0.496,71.3
0.499,75.8
0.497,72.7
0.5,78
0.457,80.1
0.505,79.4
0.497,75
0.466,78.3
0.446,83.3
0.504,81.9
0.51,81.8
0.523,81.1
0.51,75.7
0.511,80.4
0.523,85.2
0.481,71.7
0.495,74.7
0.384,74.9
0.421,75.4
0.525,77.8
0.524,77.6
0.45,75.5
0.526,77.4
0.531,78.6
0.533,83.2
0.529,85.3
0.516,84.9
0.534,78.1
0.543,75.1
0.544,77.5
0.541,78.7
0.52,77.5
0.533,73.7
0.529,74.9
0.538,84.1
0.515,86.6
0.525,82.7
0.527,82.2
0.534,81.2
0.354,46.3
0.366,47.1
0.35,56.6
0.358,62.5
0.374,56.1
0.368,55
0.362,58.9
0.318,65.5
0.286,68.6
0.383,63.4
0.384,62.1
0.337,66.3
0.372,51.3
0.392,48.6
0.398,57.5
0.294,56.7
0.408,52
0.402,57.4
0.403,61.7
0.406,66.1
0.267,67.9
0.391,58.3
0.413,56.1
0.331,48.2
0.416,52.2
0.429,59.8
0.39,55.5
0.431,59.5
0.413,66.1
0.44,70.8
0.436,59.6
0.391,60.5
0.417,70.3
0.447,72.7
0.446,72.7
0.412,75.5
0.393,73.5
0.471,70
0.427,73.1
0.468,72.8
0.471,70
0.421,72.1
0.444,74.6
0.466,66.5
0.385,68.8
0.265,72.2
0.26,66.2
0.4,54.6
0.454,52.9
0.481,60
0.492,66
0.485,59.1
0.42,65.4
0.491,66
0.496,69.5
0.493,76
0.436,75.7
0.405,69.2
0.352,59
0.137,51.5
0.328,61.6
0.507,69
0.458,77.2
0.517,72.1
0.512,66.8
0.474,75.1
0.49,79.3
0.478,80.2
0.525,77.6
0.53,76
0.502,77.3
0.53,77.1
0.489,68.1
0.501,71.3
0.463,76.8
0.44,78.8
0.541,78.6
0.524,75.5
0.491,72.7
0.456,77.4
0.533,81.7
0.376,79.5
0.526,83.4
0.537,80.1
0.514,79.3
0.542,79.9
0.448,82.1
0.372,82.1
0.549,82.5
0.54,83
0.513,81.4
0.536,79.5
